"name","memo","created_at","updated_at","code","parent_id","import_id","pinyin","display_name"
"百货",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","1",\N,"6",\N,\N
"口腔清洁用品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","101","1","6",\N,\N
"牙膏",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10100","101","6",\N,\N
"牙刷",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10101","101","6",\N,\N
"附属用品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10102","101","6",\N,\N
"刮胡用品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","102","1","6",\N,\N
"刮胡刀",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10200","102","6",\N,\N
"刮胡刀片",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10201","102","6",\N,\N
"刮胡泡",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10202","102","6",\N,\N
"须后水",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10203","102","6",\N,\N
"保养品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","103","1","6",\N,\N
"脸部营养品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10300","103","6",\N,\N
"身体保养品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10301","103","6",\N,\N
"手部保养品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10302","103","6",\N,\N
"眼部保养品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10303","103","6",\N,\N
"润唇膏",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10304","103","6",\N,\N
"婴儿护理品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","104","1","6",\N,\N
"婴儿洗发精",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10400","104","6",\N,\N
"婴儿浴露",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10401","104","6",\N,\N
"婴儿护肤品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10402","104","6",\N,\N
"婴儿柔湿巾",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10403","104","6",\N,\N
"卫生纸",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","105","1","6",\N,\N
"卷筒纸",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10500","105","6",\N,\N
"简装纸",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10501","105","6",\N,\N
"面纸",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","106","1","6",\N,\N
"抽取式",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10600","106","6",\N,\N
"袖珍式",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10601","106","6",\N,\N
"湿巾",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10602","106","6",\N,\N
"尿片",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","107","1","6",\N,\N
"小号",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10700","107","6",\N,\N
"中号",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10701","107","6",\N,\N
"大号",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10702","107","6",\N,\N
"特大号",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10703","107","6",\N,\N
"卫生棉",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","108","1","6",\N,\N
"卫生棉（日用）",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10800","108","6",\N,\N
"卫生棉（夜用）",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10801","108","6",\N,\N
"卫生护垫",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10802","108","6",\N,\N
"卫生棉条",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10803","108","6",\N,\N
"纸内裤",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10804","108","6",\N,\N
"成人型尿片",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","10805","108","6",\N,\N
"烟草",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","2",\N,"6",\N,\N
"香烟",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","201","2","6",\N,\N
"国产香烟",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","20101","201","6",\N,\N
"进口香烟",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","20102","201","6",\N,\N
"酒类",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","3",\N,"6",\N,\N
"啤酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","301","3","6",\N,\N
"国产啤酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30100","301","6",\N,\N
"进口啤酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30101","301","6",\N,\N
"其他啤酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30102","301","6",\N,\N
"葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","302","3","6",\N,\N
"国产普通葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30200","302","6",\N,\N
"国产干红葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30201","302","6",\N,\N
"国产桃红葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30202","302","6",\N,\N
"国产干白葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30203","302","6",\N,\N
"进口干红葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30204","302","6",\N,\N
"进口桃红葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30205","302","6",\N,\N
"进口干白葡萄酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30206","302","6",\N,\N
"起泡酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30207","302","6",\N,\N
"烈酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","303","3","6",\N,\N
"国产糯米类酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30300","303","6",\N,\N
"其他国产烈酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30301","303","6",\N,\N
"白兰地",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30302","303","6",\N,\N
"威士忌",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30303","303","6",\N,\N
"其他进口烈酒",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","30304","303","6",\N,\N
"食品",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","4",\N,"6",\N,\N
"咸味饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","401","4","6",\N,\N
"米果",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40100","401","6",\N,\N
"苏打饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40101","401","6",\N,\N
"加味苏打饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40102","401","6",\N,\N
"加味饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40103","401","6",\N,\N
"洋芋片",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","402","4","6",\N,\N
"原味",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40200","402","6",\N,\N
"加味",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40201","402","6",\N,\N
"甜味饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","403","4","6",\N,\N
"原味饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40300","403","6",\N,\N
"巧克力饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40301","403","6",\N,\N
"奶油饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40302","403","6",\N,\N
"营养饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40303","403","6",\N,\N
"其他口味饼干",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","40304","403","6",\N,\N
"饮料",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","5",\N,"6",\N,\N
"碳酸饮料",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","501","5","6",\N,\N
"可乐",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50101","501","6",\N,\N
"汽水",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50102","501","6",\N,\N
"加味汽水",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50103","501","6",\N,\N
"果汁",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","502","5","6",\N,\N
"含纤维果汁",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50201","502","6",\N,\N
"橙汁",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50202","502","6",\N,\N
"苹果汁",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50203","502","6",\N,\N
"其他果汁",\N,"2013-10-21 03:44:14","2013-10-21 03:44:14","50204","502","6",\N,\N
